Protein	L_gryllorum_count
XP_011134073.1 calcium/calmodulin-dependent pro...	1
XP_011132974.1 diphthamide biosynthesis protein 1	1
XP_011130369.1 putative elongation factor-like ...	1
XP_002742195.1 PREDICTED: beta-1,3-galactosyltr...	1
XP_011130230.1 RNA helicase	1
KAG8459855.1 hypothetical protein KFE25_014418	1
XP_011131935.1 autophagy-related protein 3	1
XP_011128446.1 hypothetical protein GNI_000430,...	1
XP_011130889.1 metacaspase	1
XP_011128995.1 ribophorin I	1
WP_140587484.1 alpha-ketoglutarate-dependent di...	1
KAJ1608632.1 histone deactylase	1
XP_011131661.1 hypothetical protein GNI_115110	1
XP_053990722.1 carnosine N-methyltransferase-like	1
XP_011131682.1 hypothetical protein GNI_115500	1
XP_011131433.1 putative transmembrane protein	1
OII71190.1 DNA-directed RNA polymerase II subun...	1
XP_011130785.1 putative dual specificity protei...	1
XP_011134267.1 hypothetical protein GNI_020120	1
KAH0482611.1 MAG: hypothetical protein KVP17_00...	1
CAJ0581785.1 unnamed protein product, partial	1
XP_011128951.1 putative proteasome/cyclosome pr...	1
MCB9983023.1 CinA family protein	1
MBO5507488.1 glycoside hydrolase family 97 protein	1
WP_188624894.1 glycoside hydrolase family 97 pr...	1
XP_011130048.1 integrin beta chain	1
XP_765830.1 Protein kinase domain protein	1
XP_011134239.1 sulfite exporter TauE/SafE protein	1
XP_029222325.1 hypothetical protein BESB_006570	1
CEL73391.1 TPA: hypothetical protein BN1205_090830	1
XP_011130481.1 putative elongation factor 1-gam...	1
KAH8739735.1 60S ribosomal protein L6 (YL 16 like)	1
XP_003880741.1 hypothetical protein NCLIV_011750	1
XP_011132318.1 SAP domain protein	1
KAJ3023363.1 phosphatidylserine decarboxylase 1	1
WP_003246422.1 alpha/beta fold hydrolase	1
XP_011134198.1 phosducin	1
XP_011133190.1 hypothetical protein GNI_165570	1
XP_011128990.1 putative tRNA nucleotidyltransfe...	1
WP_262247339.1 glycoside hydrolase family 32 pr...	1
MBO1735088.1 glycoside hydrolase family 97 protein	1
XP_011130407.1 inner membrane complex protein	1
XP_029218257.1 DEAD/DEAH box ATP-dependent RNA ...	1
MBT3539191.1 ZIP family metal transporter	1
KAF7458924.1 ribosomal protein RPS12	1
KAF6266818.1 pachytene checkpoint protein 2	1
CEM27129.1 unnamed protein product	1
XP_011132343.1 hypothetical protein GNI_134580	1
EPR60964.1 Rab18/RabC-family small GTPase	1
XP_011134373.1 Ulp1 protease family, carboxy-te...	1
PHJ25768.1 ubiquitin interaction motif family p...	1
CAE7365447.1 Nmt1	1
OEH75163.1 3 5 -cyclic nucleotide phosphodieste...	1
XP_011130220.1 ABC transporter	1
XP_029221334.1 facilitative glucose transporter...	1
PUA83825.1 slc30a2 protein	1
XP_011132590.1 DNA-directed RNA polymerase fami...	1
PIM03762.1 importin-beta N-terminal domain-cont...	1
KAJ6250520.1 actin	1
CAK0825513.1 unnamed protein product	1
KAH0480631.1 MAG: hypothetical protein KVP17_00...	1
XP_013437090.1 eukaryotic translation initiatio...	1
CEL66066.1 TPA: GI15163, related	1
CAF0788699.1 unnamed protein product	1
XP_053991019.1 uncharacterized protein LOC12888...	1
XP_011132006.1 hypothetical protein GNI_125680	1
XP_011134578.1 SART-1 family protein	1
XP_011130744.1 protein kinase domain protein	1
XP_011133119.1 putative CDP-diacylglycerol-inos...	1
XP_011133150.1 lipase	1
KAG1464026.1 hypothetical protein G6F56_005164	1
XP_011129329.1 putative transmembrane protein	1
KAI9251694.1 hypothetical protein EDC94DRAFT_56...	1
XP_013440814.1 exosome component 10, putative	1
CEL96819.1 unnamed protein product	1
CEM02373.1 unnamed protein product	1
XP_055388448.1 ER lumen protein-retaining recep...	1
XP_055388558.1 ubiquitin-conjugating enzyme E2 ...	1
XP_011129016.1 hypothetical protein GNI_016900	1
XP_011129912.1 U3 small nucleolar ribonucleopro...	1
XP_017863222.1 PREDICTED: nudC domain-containin...	1
XP_029221901.1 ribosomal protein RPL7A	1
XP_011132319.1 60S ribosomal protein L5	1
ORX92399.1 putative NADH-cytochrome b5 reductase	1
XP_011131757.1 hypothetical protein GNI_117060	1
XP_011130527.1 hypothetical protein GNI_077650	1
XP_013247750.1 inositol polyphosphate kinase do...	1
KAJ6452247.1 hypothetical protein C8R45DRAFT_10...	1
XP_011132342.1 putative transmembrane protein	1
CEP02483.1 hypothetical protein PBRA_009067	1
KAI0557788.1 Glutathione S-transferase	1
XP_025113404.1 uncharacterized protein LOC11257...	1
PSS05542.1 hypothetical protein PHLCEN_2v3744	1
EGT46832.1 hypothetical protein CAEBREN_19860	1
XP_002765696.1 conserved hypothetical protein	1
KFG52550.1 ubiquitin-specific protease USP4, pa...	1
OUM68702.1 hypothetical protein PIROE2DRAFT_68006	1
KAJ7571681.1 hypothetical protein O6H91_01G172400	1
KAF1919326.1 beta-1,4-mannosyltransferas-like p...	1
XP_011128700.1 hypothetical protein GNI_008140	1
CAG7943427.1 unnamed protein product	1
XP_011131851.1 guanylate-binding protein	1
XP_011130144.1 AKAP7 2'5' RNA ligase-like domai...	1
AAC68889.1 VU91A calmodulin	1
XP_008815970.1 hypoxanthine-guanine-xanthine ph...	1
XP_011134510.1 brix domain protein 2	1
XP_011128744.1 hypothetical protein GNI_009570,...	1
XP_011133117.1 hypothetical protein GNI_163580	1
XP_011131238.1 hypothetical protein GNI_103300	1
XP_051404173.1 uncharacterized protein BX664DRA...	1
KAJ2778345.1 transcriptional regulator	1
XP_011130818.1 lecithin:cholesterol acyltransfe...	1
XP_011132585.1 DNA repair helicase rad25	1
CEM26639.1 unnamed protein product	1
XP_011133403.1 hypothetical protein GNI_176250	1
XP_011133402.1 hypothetical protein GNI_176150	1
XP_011133401.1 putative oocyst wall protein	1
XP_013389761.1 hydroxyacylglutathione hydrolase...	1
XP_011132100.1 1,4-alpha-glucan branching enzyme	1
KAF4674035.1 hypothetical protein FOL47_009827	1
XP_011132568.1 hypothetical protein GNI_140900	1
XP_026191573.1 uncharacterized protein LOC34617888	1
CEM08840.1 unnamed protein product	1
XP_011131134.1 DNA helicase	1
CEM01762.1 unnamed protein product	1
XP_011134104.1 hypothetical protein GNI_084360,...	1
XP_052277324.1 uncharacterized protein LOC12787...	1
XP_011132092.1 inhibitor of apoptosis-promotor ...	1
XP_011133120.1 putative 26S proteasome non-ATPa...	1
CEL97814.1 unnamed protein product	1
KAF8822244.1 Dna polymerase (pol2) superfamily ...	1
XP_011128773.1 ring finger protein	1
XP_026189802.1 DNA/RNA-binding protein KIN17	1
XP_053992209.1 uncharacterized protein LOC12888...	1
XP_011131926.1 ATPase	1
XP_051623569.1 FHA (fork head associated) domai...	1
CAB0029907.1 unnamed protein product	1
CAJ1336624.1 unnamed protein product	1
XP_011129914.1 putative pentatricopeptide repea...	1
XP_011130708.1 60S ribosomal protein L9	1
XP_011129195.1 putative Ran-binding protein 1	1
XP_011129472.1 cytoplasmic protein	1
CEM00557.1 unnamed protein product	1
XP_011132474.1 putative acetyl-CoA carboxylase	1
XP_011134139.1 acetyl-CoA carboxylase	1
XP_011134313.1 Utp14, partial	1
XP_011131074.1 RNA recognition motif protein, p...	1
KAH0473454.1 MAG: hypothetical protein KVP17_00...	1
XP_011130294.1 formin-like 2 domain protein	1
PHJ23974.1 synaptobrevin family protein	1
XP_053992534.1 acidic leucine-rich nuclear phos...	1
XP_011133652.1 hypothetical protein GNI_190280	1
EPR63290.1 heat shock protein	1
XP_011131785.1 hypothetical protein GNI_118420,...	1
XP_011132582.1 putative transmembrane protein	1
XP_011134592.1 clathrin adaptor complex small p...	1
CAD7698853.1 unnamed protein product, partial	1
XP_011132626.1 NMDA receptor-regulated protein 1	1
XP_011134360.1 swirm domain protein	1
KAF8820357.1 Sof1 family domain-containing protein	1
CAG9466523.1 unnamed protein product	1
CAE8734381.1 unnamed protein product	1
KAI8049061.1 hypothetical protein BDF22DRAFT_65...	1
WDD38918.1 phosphatidylinositol N-acetylglucosa...	1
CEM33559.1 unnamed protein product	1
XP_011132408.1 DNA-directed RNA polymerase subunit	1
KAF8822385.1 hypothetical protein IE077_003846	1
HQY87251.1 deoxyribodipyrimidine photo-lyase	1
XP_011128909.1 putative structure specific reco...	1
CEM00887.1 unnamed protein product	1
MCM8816517.1 hypothetical protein	1
XP_011130964.1 protein phosphatase	1
CEM07625.1 unnamed protein product	1
XP_011129398.1 putative nuclear pore associated...	1
CAK0871639.1 unnamed protein product	1
PHJ17250.1 archease family protein	1
KAH6558452.1 hypothetical protein KP509_1Z063000	1
XP_025411168.1 putative deoxyribonuclease TATDN...	1
XP_011133135.1 putative speckle-type POZ (SPOP)...	1
KAJ3183333.1 Component of the SF3b subcomplex o...	1
XP_011134136.1 LisH	1
XP_011130222.1 putative glycosyltransferase gro...	1
XP_011132025.1 hypothetical protein GNI_126410,...	1
CEM21282.1 unnamed protein product	1
XP_011131796.1 protein kinase domain protein	1
HAO06210.1 glycosyl hydrolase family 32	1
XP_011129482.1 RNase L inhibitor ATP-binding ca...	1
XP_029218793.1 putative ATP-binding cassette su...	1
XP_011128624.1 putative AN1-type zinc finger pr...	1
KAH0483277.1 MAG: hypothetical protein KVP17_00...	1
XP_011130840.1 hypothetical protein GNI_090800	1
OII76522.1 hypothetical protein cand_000430	1
XP_011131598.1 RNA recognition motif protein	1
DAD42527.1 TPA_asm: hypothetical protein HUJ06_...	1
XP_011134301.1 FHA domain protein	1
XP_003883826.1 putative vacuolar protein sortin...	1
XP_011129694.1 hypothetical protein GNI_049760	1
KAF5100775.1 hypothetical protein D0Z03_000752	1
MCP3660082.1 hypothetical protein	1
XP_011129444.1 LsmAD domain protein	1
XP_011131367.1 putative XPA-binding protein 1	1
KAJ9592724.1 hypothetical protein L9F63_015604	1
OSX71629.1 hypothetical protein BU14_0518s0021	1
CAE7661178.1 H3	1
XP_011128969.1 ubiquitin-transferase domain pro...	1
XP_011133314.1 RNA helicase	1
XP_011132706.1 protein kinase domain protein	1
TRY61631.1 hypothetical protein TCAL_04405	1
XP_011131570.1 putative acid phosphatase	1
XP_011129391.1 glutamine cyclotransferase	1
XP_011132104.1 putative eukaryotic translation ...	1
XP_011132106.1 ubiquitin carboxyl-terminal hydr...	1
NMC85787.1 ribokinase	1
KAH0476384.1 MAG: hypothetical protein KVP18_00...	1
XP_011133592.1 40S ribosomal protein S18	1
CEM36652.1 unnamed protein product	1
PIL96327.1 U1 zinc finger protein, partial	1
KAH0473445.1 MAG: hypothetical protein KVP17_00...	1
XP_026190208.1 zinc finger CCCH domain-containi...	1
XP_011133466.1 hypothetical protein GNI_178520	1
XP_001744218.1 uncharacterized protein MONBRDRA...	1
XP_011134254.1 bacterial Ig-like domain protein	1
PIX04718.1 MAG: 4-alpha-glucanotransferase, par...	1
VDP94796.1 unnamed protein product	1
XP_013137184.1 PREDICTED: ATP-dependent (S)-NAD...	1
XP_011130860.1 putative pre-mRNA splicing factor	1
XP_011128668.1 oligoendopeptidase F	1
CDI75490.1 GJ23850, related	1
XP_029222758.1 hypothetical protein BESB_010910	1
OII75672.1 ubiquitin carboxyl-terminal hydrolas...	1
XP_011130854.1 eukaryotic translation initiatio...	1
XP_011130856.1 chromosome condensation regulato...	1
XP_011131665.1 TPR repeat protein	1
CAF3510938.1 unnamed protein product	1
XP_026191639.1 rRNA 2'-O-methyltransferase fibr...	1
XP_011134494.1 PAP2 superfamily protein	1
AZL94318.1 Ant protein	1
XP_011134345.1 fibronectin-binding A, amine-ter...	1
XP_011131489.1 VRR-NUC domain protein	1
RLF04437.1 MAG: glycosyl hydrolase, partial	1
XP_011134522.1 bromodomain domain protein	1
CEM31644.1 unnamed protein product	1
XP_011133355.1 peptidase S8 family domain protein	1
XP_011133248.1 PCI domain protein	1
XP_011131688.1 hypothetical protein GNI_115650	1
XP_013231166.1 zinc finger DHHC domain-containi...	1
KAH0483407.1 MAG: hypothetical protein KVP18_00...	1
XP_011130566.1 mRNA capping enzyme beta chain	1
CEM04492.1 unnamed protein product	1
XP_011131015.1 putative mRNA export protein	1
XP_011131022.1 histone H2B	1
XP_011133146.1 hypothetical protein GNI_164410	1
CEL97701.1 unnamed protein product	1
XP_029216295.1 FYVE zinc finger domain-containi...	1
XP_003884761.1 putative GTP binding protein	1
WP_164981464.1 glycoside hydrolase family 3 N-t...	1
XP_011131955.1 40s ribosomal protein S13	1
CEM06721.1 unnamed protein product	1
CAI4017741.1 unnamed protein product	1
RUS28249.1 hypothetical protein BC938DRAFT_4821...	1
CEM11716.1 unnamed protein product	1
XP_013633979.1 PREDICTED: maf-like protein DDB_...	1
XP_011131664.1 D-tyrosyl-tRNA(Tyr) deacylase	1
XP_011130966.1 putative choline/ethanolaminepho...	1
XP_011129841.1 hypothetical protein GNI_053300	1
XP_011131244.1 hypothetical protein GNI_103360	1
XP_011131243.1 60S ribosomal protein L27	1
XP_011132090.1 calcium-binding EGF domain protein	1
XP_011131689.1 ZPR1 zinc-finger protein	1
XP_011131067.1 hypothetical protein GNI_098500	1
XP_011132964.1 putative small nuclear ribonucle...	1
XP_011132558.1 patched family protein	1
XP_011129145.1 hypothetical protein GNI_030300	1
XP_059452932.1 uncharacterized protein LOC13218...	1
KAH7128904.1 carbonic anhydrase	1
TDH69057.1 hypothetical protein CCR75_004917	1
CEL65173.1 TPA: synaptosomal-associated protein...	1
HMK72748.1 carbonic anhydrase family protein	1
XP_011129779.1 putative transmembrane protein	1
CDW76835.1 UNKNOWN	1
XP_028876501.1 WD40 repeat-containing protein	1
XP_011131808.1 putative phosphopantothenate-cys...	1
CEM00607.1 unnamed protein product	1
XP_055388955.1 uncharacterized protein LOC12961...	1
XP_011131341.1 hypothetical protein GNI_105680	1
KAH0486229.1 MAG: hypothetical protein KVP18_00...	1
KAI9323634.1 phosphotransferase KptA/Tpt1	1
KAH7648109.1 hypothetical protein FG379_000033	1
XP_011128927.1 lipase	1
XP_011131144.1 translation elongation factor-1-...	1
XP_053992881.1 uncharacterized protein LOC12888...	1
XP_011131027.1 adenylosuccinate synthetase	1
XP_011131924.1 zinc finger, ZZ type protein	1
MEA1926622.1 DnaJ domain-containing protein	1
XP_011132880.1 histone chaperone ASF1	1
WCJ33974.1 cyclin b3 1	1
XP_011131275.1 START domain protein	1
XP_011131320.1 AMP deaminase	1
XP_011133567.1 RAVE 1 carboxy-terminal protein,...	1
CEL70037.1 TPA: Peptidylprolyl isomerase D (Cyc...	1
XP_011129880.1 inositol monophosphatase	1
CEM22902.1 unnamed protein product	1
MBQ3794938.1 pyrroline-5-carboxylate reductase	1
XP_013234209.1 protein phosphatase 2b regulator...	1
XP_011134262.1 hypothetical protein GNI_019980	1
XP_061417969.1 AP-1 complex subunit beta-1-like...	1
XP_059573518.1 AP-2 complex subunit beta-like	1
KFG99709.1 ubiquitin family protein	1
CEM06959.1 unnamed protein product	1
XP_011128709.1 serine hydroxymethyltransferase	1
XP_011128817.1 AAA family ATPase	1
OPY49808.1 MAG: VCP-like ATPase	1
XP_008613533.1 hypothetical protein SDRG_09382	1
KFG36351.1 TBC domain-containing protein, partial	1
CAI8603177.1 unnamed protein product	1
XP_011130941.1 SacI-like domain protein	1
CEM37946.1 unnamed protein product	1
XP_011133600.1 putative mitotic checkpoint prot...	1
XP_011133599.1 hypothetical protein GNI_185080	1
XP_011128987.1 AMP-binding enzyme	1
XP_011131888.1 putative U3 small nucleolar ribo...	1
XP_011132812.1 hypothetical protein GNI_152570	1
KAH0486054.1 MAG: hypothetical protein KVP18_00...	1
PHJ15293.1 beta adaptin protein, partial	1
XP_011132699.1 putative poly  polymerase	1
CEM21761.1 unnamed protein product	1
WP_104712874.1 L-serine ammonia-lyase	1
KAH0486001.1 MAG: hypothetical protein KVP18_00...	1
TFK69405.1 Maf/Ham1	1
XP_011132081.1 Sir2 family regulator	1
XP_011130259.1 hypothetical protein GNI_069100	1
KAH8582375.1 40S ribosomal S20	1
OXB71354.1 hypothetical protein H355_006001	1
WP_302140320.1 polynucleotide adenylyltransfera...	1
WP_188152319.1 polynucleotide adenylyltransfera...	1
WP_232802366.1 polynucleotide adenylyltransfera...	1
XP_011132086.1 putative zinc finger protein	1
XP_011128515.1 putative eukaryotic translation ...	1
XP_011134802.1 proteasome subunit alpha type	1
CAB3985623.1 histone-lysine N-methyltransferase...	1
XP_011133242.1 putative trafficking particle co...	1
KAH0475747.1 MAG: hypothetical protein KVP18_00...	1
XP_002286778.1 hypothetical protein THAPSDRAFT_...	1
KAF4676278.1 hypothetical protein FOL47_006434	1
PHJ20115.1 heat shock protein hsp70	1
KAG0654655.1 ATPase with role in protein import...	1
XP_011129229.1 proteasome subunit beta type	1
KAH7647385.1 TBC domain containing	1
CEL99296.1 unnamed protein product	1
XP_011132556.1 succinate dehydrogenase flavopro...	1
KAF8819075.1 ribosomal protein RPL26	1
CEM35876.1 unnamed protein product	1
XP_011131325.1 26S proteasome ATPase regulatory...	1
XP_011129517.1 GTPase	1
XP_011131484.1 hypothetical protein GNI_110630	1
XP_011130250.1 phenylalanyl-tRNA synthetase alp...	1
KAH9809977.1 eukaryotic translation initiation ...	1
BDT62128.1 MAG: MjHSP70-2-like protein	1
XP_011133415.1 SAM-binding domain protein	1
GJP40490.1 hypothetical protein CLOM_g167	1
XP_029222106.1 ribosomal protein RPL35A	1
XP_011128814.1 putative protein kinase	1
XP_011131921.1 cysteine desulfurase	1
XP_029222233.1 heat shock protein HSP60	1
CEM08830.1 unnamed protein product	1
XP_011130939.1 putative 5'-3' exoribonuclease	1
CEM03457.1 unnamed protein product	1
XP_011132120.1 putative translocation protein S...	1
XP_011132118.1 phosphoacetylglucosamine mutase	1
XP_011130100.1 COPI associated protein	1
KAI9136929.1 putative heat shock protein	1
KAJ4730946.1 Heat shock 70 kDa protein, partial	1
XP_011133244.1 glucose-6-phosphate 1-dehydrogenase	1
OEH75389.1 vacuolar atp synthase subunit	1
XP_011128675.1 putative vacuolar ATP synthase s...	1
XP_029219933.1 hypothetical protein BESB_055750	1
XP_011133440.1 hypothetical protein GNI_177450	1
XP_026194496.1 uncharacterized protein LOC34620801	1
CEL93775.1 unnamed protein product	1
XP_011129067.1 family UPF0160 protein	1
HCV16095.1 amidinotransferase	1
XP_011129189.1 haloacid dehalogenase-like hydro...	1
XP_011132730.1 putative tRNA-specific adenosine...	1
XP_011134380.1 DEAD-box ATP-dependent RNA helicase	1
XP_005649264.1 hypothetical protein COCSUDRAFT_...	1
XP_003882154.1 HSP90-like protein, related	1
XP_040889660.1 E3 ubiquitin-protein ligase DTX3...	1
XP_011130285.1 putative transmembrane protein	1
KAH8741541.1 CPSF metallobeta-lactamase	1
CAD8059455.1 unnamed protein product	1
WP_018429489.1 glutamate decarboxylase	1
CAE7645949.1 UBP12, partial	1
XP_047081237.1 protein DNA-DAMAGE INDUCIBLE 1-like	1
WP_016207927.1 MULTISPECIES: pyrroline-5-carbox...	1
XP_011131152.1 importin subunit alpha	1
CEL93223.1 unnamed protein product	1
CAD7927448.1 unnamed protein product	1
CEM34560.1 unnamed protein product	1
XP_011130036.1 putative transcription factor	1
XP_013228727.1 EF hand domain-containing protei...	1
XP_011128694.1 hypothetical protein GNI_007900	1
XP_011130676.1 hypothetical protein GNI_086710	1
XP_020160678.1 RING-H2 finger protein ATL70	1
XP_029221026.1 RNA recognition motif-containing...	1
XP_011132560.1 DNA topoisomerase 2	1
KAI1483502.1 SET domain-containing protein	1
XP_011128881.1 hypothetical protein GNI_013380	1
CEL69062.1 TPA: cAMP phosphodiesterase, putative	1
XP_053991697.1 uncharacterized protein LOC12888...	1
XP_011129132.1 hypothetical protein GNI_029440	1
KAH8741748.1 protein with 2 TPR domains	1
TFK56535.1 Adaptor protein complex AP-3 delta s...	1
HYA36379.1 superoxide dismutase	1
XP_011132605.1 protein serine/threonine kinase ...	1
XP_013336354.1 MA3 domain protein, putative	1
WP_299897294.1 beta-glucosidase BglX	1
WP_264140042.1 beta-glucosidase BglX	1
WP_048370636.1 beta-glucosidase BglX	1
XP_011133229.1 hypothetical protein GNI_167760	1
XP_011129919.1 Gar1/naf1 RNA-binding region pro...	1
CEM02711.1 unnamed protein product	1
XP_037575712.1 rRNA-processing protein UTP23 ho...	1
XP_011131637.1 putative WD-repeat protein	1
XP_011132566.1 splicing factor 3B subunit 1	1
CEL96267.1 unnamed protein product	1
XP_011132290.1 putative nucleoside phosphatase	1
CAG4711102.1 unnamed protein product, partial	1
XP_011130196.1 oligoribonuclease	1
CCI43856.1 unnamed protein product	1
WP_097276998.1 alpha-ketoglutarate-dependent di...	1
XP_011131732.1 zinc finger, C3HC4 type (RING fi...	1
AET50681.1 hypothetical protein	1
XP_011131062.1 hypothetical protein GNI_098360	1
XP_011131405.1 hypothetical protein GNI_107130	1
MBF4509981.1 S8 family serine peptidase	1
KAJ3262759.1 Inositol hexakisphosphate kinase 1	1
CEM30120.1 unnamed protein product	1
XP_011131362.1 putative acetyltransferase domai...	1
XP_011133396.1 methionine aminopeptidase	1
CEM05712.1 unnamed protein product	1
XP_011129150.1 hypothetical protein GNI_030620,...	1
NYB25913.1 acetate uptake transporter	1
CAD2099751.1 zinc finger protein, putative	1
XP_011129355.1 putative MORN repeat protein	1
KAF8819726.1 hypothetical protein IE077_004068,...	1
XP_055388757.1 thioredoxin reductase-like	1
KAH9181816.1 hypothetical protein AeNC1_016208,...	1
XP_011132286.1 putative helicase	1
CEM34754.1 unnamed protein product	1
XP_011131266.1 ATP-binding protein, partial	1
XP_011129470.1 putative SDA1-like protein	1
XP_029222656.1 putative oligosaccharyl transfer...	1
XP_002142715.1 S8/S53 family serine protease, p...	1
CEM34424.1 unnamed protein product	1
XP_011130618.1 methyltransferase	1
MCI8482985.1 sugar O-acetyltransferase	1
VWU51051.1 vacuolar protein sorting-associated ...	1
XP_011129227.1 hypothetical protein GNI_033910	1
XP_011131782.1 putative transmembrane protein	1
XP_011131910.1 exodeoxyribonuclease III	1
XP_011133805.1 putative reverse transcriptase	1
XP_011130466.1 hypothetical protein GNI_075040	1
XP_011132623.1 eukaryotic translation initiatio...	1
XP_011130891.1 pescadillo protein, partial	1
XP_053993618.1 uncharacterized protein LOC12888...	1
XP_011129278.1 NAD kinase	1
MDD2646087.1 sugar O-acetyltransferase	1
XP_011128726.1 GPR1/FUN34/yaaH family protein	1
XP_011128729.1 hypothetical protein GNI_008880	1
XP_011128751.1 putative 26S proteasome non-ATPa...	1
XP_002142600.1 uncharacterized protein CMU_019940	1
CEM03290.1 unnamed protein product	1
XP_057301263.1 uncharacterized protein LOC13063...	1
CEL94293.1 unnamed protein product	1
CEL94017.1 unnamed protein product	1
XP_011131748.1 DnaJ	1
XP_011132580.1 putative tRNA (guanine-N(1)-)-me...	1
XP_011133418.1 inhibitor of apoptosis-promotor ...	1
XP_027193623.1 chaperone protein dnaJ 6-like	1
XP_011133155.1 40S ribosomal protein S3a	1
CEM06421.1 unnamed protein product	1
CEL92078.1 unnamed protein product	1
XP_011128755.1 hypothetical protein GNI_010130,...	1
KAH0480102.1 MAG: hypothetical protein KVP18_00...	1
XP_028868921.1 preprocathepsin c precursor	1
KAF8820509.1 putative U5 small nuclear ribonucl...	1
XP_011133121.1 hypothetical protein GNI_163620	1
XP_055388101.1 uncharacterized protein LOC12961...	1
WP_168980651.1 indolepyruvate decarboxylase	1
XP_011128956.1 putative mannosyltransferase	1
XP_011129242.1 helicase	1
XP_011131025.1 hypothetical protein GNI_096640	1
KAH0473575.1 MAG: hypothetical protein KVP18_00...	1
XP_011132641.1 WD repeat protein, partial	1
HEV3380922.1 MFS transporter	1
XP_011133419.1 SNF2 family amine-terminal domai...	1
XP_057836691.1 protein OPAQUE1 isoform X2	1
XP_011132333.1 putative transmembrane protein	1
XP_011129918.1 hypothetical protein GNI_055240	1
CEM04567.1 unnamed protein product	1
XP_011131363.1 DNA-directed RNA polymerase beta...	1
XP_011129344.1 DDHD domain protein	1
XP_011134628.1 hypothetical protein GNI_160220	1
XP_011130245.1 putative cystathionine beta-synt...	1
XP_011128737.1 putative transmembrane protein	1
XP_011129220.1 NOL1/NOP2/sun family protein	1
XP_011130665.1 GHKL domain protein	1
WP_234734378.1 pyridoxamine 5'-phosphate oxidase	1
WP_123598734.1 type III PLP-dependent enzyme	1
XP_012257956.2 UDP-N-acetylglucosamine transfer...	1
KAJ2389902.1 Aspartate aminotransferase, cytopl...	1
XP_011128626.1 small nuclear ribonucleoprotein E	1
XP_011134406.1 inner membrane complex protein	1
KAJ2402315.1 accessory factor associated with R...	1
CEM03226.1 unnamed protein product	1
XP_011132498.1 JAB1/Mov34/MPN/PAD-1 ubiquitin p...	1
OMJ82851.1 hypothetical protein SteCoe_16318	1
XP_011130587.1 alternative oxidase	1
CAD7958230.1 unnamed protein product	1
XP_029219060.1 ribosomal protein RPL3	1
CAI2380134.1 unnamed protein product	1
XP_011130972.1 hypothetical protein GNI_094930	1
XP_011128714.1 Spc97/Spc98 family protein	1
XP_053991272.1 uncharacterized protein LOC12888...	1
KRY87442.1 Golgi reassembly-stacking protein 2	1
XP_011130788.1 Der1-like family protein	1
XP_031125288.1 uncharacterized protein LOC11602...	1
CEM15985.1 unnamed protein product	1
XP_011131862.1 putative hemolysin	1
KAG9295995.1 hypothetical protein G9A89_011847	1
CEL68905.1 TPA: syntaxin, putative	1
KAF4664225.1 hypothetical protein FOL47_005243	1
KAH0485630.1 MAG: hypothetical protein KVP17_00...	1
GFE55032.1 integral membrane DUF56 family protein	1
XP_011133266.1 LEM3/CDC50 family protein	1
XP_011133265.1 putative vesicle-associated memb...	1
XP_038065761.1 LOW QUALITY PROTEIN: prefoldin s...	1
KFG40816.1 putative transmembrane protein	1
KAJ3650614.1 hypothetical protein Zmor_016702	1
MBI3076729.1 gamma-glutamyl-gamma-aminobutyrate...	1
XP_011132970.1 cyclin-dependent protein kinase-...	1
XP_011134048.1 FACT complex subunit	1
KAG1704047.1 hypothetical protein DVH05_006060	1
XP_011129982.1 centrin, caltractin	1
KAJ3223381.1 Origin recognition complex, subunit 1	1
XP_011128958.1 putative transmembrane protein	1
XP_011130465.1 hypothetical protein GNI_075030	1
XP_002258415.1 uncharacterized protein PKNH_071...	1
XP_011130462.1 tubulin alpha chain	1
PHJ23977.1 ran binding protein	1
CEM29693.1 unnamed protein product	1
ABQ96867.1 class XIV myosin	1
XP_011131282.1 putative sortilin	1
XP_011129008.1 putative transmembrane protein	1
XP_055388879.1 uncharacterized protein LOC12961...	1
XP_011130616.1 WW domain protein	1
KAH0488971.1 MAG: hypothetical protein KVP17_00...	1
XP_011134083.1 26S proteasome regulatory subuni...	1
CAK0906624.1 unnamed protein product, partial	1
KAH9898091.1 cytosolic large ribosomal subunit ...	1
XP_053991433.1 splicing factor U2AF 65 kDa subu...	1
KAF8821786.1 splicing factor U2AF protein	1
XP_011129568.1 transcriptional coactivator p15 ...	1
XP_011132280.1 calcium/calmodulin-dependent pro...	1
MBL7732034.1 alpha,alpha-trehalase TreF	1
XP_011131909.1 protein serine/threonine kinase ...	1
CAB1428060.1 unnamed protein product	1
XP_011128776.1 putative membrane protein	1
KAK2197933.1 bifunctional Chromo-like domain su...	1
XP_011130713.1 6-phosphofructokinase	1
CAD2099360.1 dihydrofolate synthase/folylpolygl...	1
XP_011129569.1 amine oxidase	1
XP_011128644.1 MIF4G domain protein	1
XP_061076707.1 signal peptidase complex subunit 1	1
XP_011129056.1 DNA-directed RNA polymerase II s...	1
XP_055389109.1 hexokinase-like	1
CAE7723214.1 TXNDC9	1
XP_053991233.1 pre-mRNA-splicing factor ISY1 ho...	1
KAI5612898.1 RNA cytidine acetyltransferase	1
KAJ8304155.1 hypothetical protein KUTeg_017738	1
XP_011130241.1 B-block-binding subunit of tfiii...	1
XP_011128663.1 protein kinase	1
XP_055388781.1 LOW QUALITY PROTEIN: development...	1
